Scenario,R_ID,Resource,Zone,Total_MW,Total_MWh,New_MW,New_MWh,Duration_hr
moderate_all,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
moderate_all,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
moderate_all,17,hydroelectric_pumped_storage,CA_S,1623.0,16365.47782735737,0.0,0.0,10.083473707552292
moderate_all,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
moderate_all,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
moderate_all,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
moderate_all,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,2618.9376443418014,0.0,0.0,8.083140877598153
moderate_all,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,2314.665127020785,0.0,0.0,9.70509487220455
moderate_all,58,battery,CA_N,15408.044302952161,85253.47828655539,15408.044302952161,85253.47828655539,5.5330499192698275
moderate_all,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
moderate_all,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
moderate_all,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
moderate_all,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
moderate_all,141,battery,WECC_WYCO,0.0,0.0,0.0,0.0,0.0
moderate_all,167,hydroelectric_pumped_storage,WECC_PNW,214.0,1976.9922956120092,0.0,0.0,9.238281755196304
moderate_all,168,hydroelectric_pumped_storage,WECC_PNW,100.0,1498.4356849412288,0.0,0.0,14.984356849412288
